Family_ID	Period	Sub_family	N_members	N_chromosomes	Chromosomes	Total_span_bp	Total_span_Mb	GRS_span_bp	Avg_copies	Avg_identity	Top30
P142_F003	142	3	5	1	SUPER_5	1289	0.00	0	1.8	81.8	False
P64_F001	64	1	16	1	SUPER_5	1246	0.00	1246	2.0	98.8	False
P3_F003	3	3	13	7	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X	1230	0.00	0	31.9	88.2	False
P63_F003	63	3	7	3	SUPER_2,SUPER_3,SUPER_4	1206	0.00	0	3.0	83.4	False
P30_F011	30	11	2	1	SUPER_3	1205	0.00	0	11.4	82.5	False
P45_F003	45	3	2	1	SUPER_3	1193	0.00	0	13.3	99.0	False
P70_F002	70	2	2	1	SUPER_2	1171	0.00	0	8.3	90.0	False
P9_F001	9	1	10	6	SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6,SUPER_X	1155	0.00	0	9.8	84.9	False
P40_F008	40	8	11	1	SUPER_X	1084	0.00	1084	10.8	67.7	False
P14_F004	14	4	21	5	SUPER_2,SUPER_3,SUPER_4,SUPER_5,SUPER_6	1082	0.00	0	8.4	88.8	False
P91_F002	91	2	22	1	SUPER_1	1082	0.00	1082	2.0	99.5	False
P266_F001	266	1	1	1	SUPER_3	1052	0.00	0	3.8	88.0	False
P481_F001	481	1	5	1	SUPER_X	1010	0.00	1010	2.9	97.6	False
P157_F001	157	1	5	3	SUPER_1,SUPER_3,SUPER_4	1008	0.00	1008	2.2	95.0	False
P228_F001	228	1	1	1	SUPER_1	968	0.00	968	3.6	80.0	False
P22_F004	22	4	4	2	SUPER_2,SUPER_4	968	0.00	0	22.5	78.2	False
P78_F005	78	5	4	2	SUPER_X_unloc_2,SUPER_X_unloc_4	928	0.00	0	3.0	92.0	False
P33_F002	33	2	5	1	SUPER_1	919	0.00	0	5.6	94.8	False
P40_F004	40	4	4	2	SUPER_2,SUPER_5	912	0.00	0	5.3	77.8	False
P24_F002	24	2	7	2	SUPER_1,SUPER_3	911	0.00	911	4.5	84.6	False
P197_F002	197	2	4	2	SUPER_1,SUPER_6	907	0.00	907	2.5	98.5	False
P7_F001	7	1	2	1	SUPER_3	903	0.00	0	62.4	69.5	False
P61_F004	61	4	3	1	SUPER_X_unloc_67	901	0.00	0	2.9	95.0	False
P46_F001	46	1	12	1	SUPER_1	827	0.00	0	2.5	99.7	False
P6_F004	6	4	16	5	SUPER_1,SUPER_2,SUPER_3,SUPER_4,SUPER_6	819	0.00	0	10.7	84.1	False
P591_F002	591	2	1	1	SUPER_2	784	0.00	784	4.2	88.0	False
P31_F005	31	5	8	5	SUPER_2,SUPER_3,SUPER_4,SUPER_6,SUPER_X	782	0.00	782	3.5	84.0	False
P275_F001	275	1	2	1	SUPER_2	781	0.00	0	2.6	92.0	False
P135_F004	135	4	2	2	SUPER_X,scaffold_183	773	0.00	521	2.9	94.5	False
P90_F003	90	3	2	1	SUPER_2	753	0.00	0	4.2	95.0	False
P33_F009	33	9	1	1	SUPER_2	751	0.00	0	11.5	99.0	False
P10_F003	10	3	9	4	SUPER_1,SUPER_3,SUPER_5,SUPER_X	736	0.00	138	7.9	90.0	False
P307_F002	307	2	1	1	SUPER_1	733	0.00	0	2.1	88.0	False
P81_F005	81	5	1	1	SUPER_X	721	0.00	721	7.6	79.0	False
P40_F012	40	12	4	2	SUPER_X,scaffold_183	717	0.00	441	4.5	99.8	False
P36_F007	36	7	1	1	SUPER_4	711	0.00	0	3.9	88.0	False
P85_F002	85	2	4	1	SUPER_3	688	0.00	0	2.0	98.0	False
P99_F002	99	2	2	1	SUPER_2	685	0.00	0	3.5	85.5	False
P41_F006	41	6	6	4	SUPER_X,SUPER_X_unloc_10,SUPER_X_unloc_2,SUPER_X_unloc_4	679	0.00	135	2.8	77.3	False
P10_F002	10	2	2	1	SUPER_1	652	0.00	0	32.8	80.5	False
P67_F002	67	2	3	1	SUPER_X	649	0.00	649	3.2	95.0	False
P3_F001	3	1	9	4	SUPER_1,SUPER_3,SUPER_5,SUPER_6	642	0.00	0	24.1	93.2	False
P18_F001	18	1	3	3	SUPER_1,SUPER_3,SUPER_X	627	0.00	627	11.6	95.3	False
P3_F004	3	4	7	4	SUPER_3,SUPER_4,SUPER_5,SUPER_6	593	0.00	50	28.6	93.4	False
P66_F005	66	5	3	1	SUPER_4	584	0.00	0	3.0	93.3	False
P6_F003	6	3	3	3	SUPER_2,SUPER_3,SUPER_4	574	0.00	0	23.1	80.0	False
P63_F005	63	5	2	1	SUPER_3	565	0.00	0	5.1	75.0	False
P21_F004	21	4	3	2	SUPER_X,scaffold_183	511	0.00	308	8.2	91.3	False
P73_F001	73	1	3	2	SUPER_4,SUPER_5	510	0.00	113	2.5	93.3	False
P4_F003	4	3	2	1	SUPER_2	506	0.00	506	63.0	94.5	False
P6_F006	6	6	5	3	SUPER_X,SUPER_X_unloc_67,scaffold_183	504	0.00	199	17.8	99.8	False
P31_F007	31	7	2	1	SUPER_X_unloc_3	496	0.00	0	8.0	90.5	False
P108_F002	108	2	2	1	SUPER_4	485	0.00	0	2.2	91.0	False
P28_F010	28	10	2	1	SUPER_X	472	0.00	0	8.9	100.0	False
P80_F002	80	2	4	1	SUPER_6	469	0.00	469	2.0	100.0	False
P32_F008	32	8	2	2	SUPER_X_unloc_12,SUPER_X_unloc_3	463	0.00	0	7.3	89.0	False
P90_F001	90	1	2	1	SUPER_1	448	0.00	0	2.5	96.0	False
P54_F003	54	3	2	1	SUPER_2	442	0.00	0	4.1	90.5	False
P22_F005	22	5	2	1	SUPER_3	438	0.00	0	14.0	94.0	False
P21_F002	21	2	3	1	SUPER_2	436	0.00	0	6.9	76.0	False
P71_F003	71	3	2	1	SUPER_4	424	0.00	424	3.0	94.0	False
P93_F004	93	4	2	2	SUPER_X,scaffold_183	417	0.00	208	2.2	79.0	False
P102_F001	102	1	2	1	SUPER_6	408	0.00	408	2.0	100.0	False
P103_F002	103	2	2	2	SUPER_3,SUPER_X	400	0.00	200	2.0	84.0	False
P147_F004	147	4	3	1	SUPER_3	398	0.00	0	2.9	84.3	False
P135_F001	135	1	1	1	SUPER_1	390	0.00	0	2.7	91.0	False
P123_F003	123	3	3	1	SUPER_X	389	0.00	389	2.1	94.7	False
P20_F007	20	7	3	1	SUPER_2	378	0.00	378	6.7	100.0	False
P80_F003	80	3	2	1	SUPER_X	378	0.00	0	2.4	85.0	False
P32_F004	32	4	4	4	SUPER_1,SUPER_2,SUPER_3,SUPER_4	372	0.00	0	2.6	88.5	False
P36_F001	36	1	5	1	SUPER_1	360	0.00	360	2.8	100.0	False
P116_F002	116	2	2	1	SUPER_X	348	0.00	0	2.7	94.0	False
P33_F005	33	5	2	1	SUPER_2	342	0.00	0	5.2	86.5	False
P91_F001	91	1	2	2	SUPER_1,SUPER_X	340	0.00	340	2.6	84.0	False
P20_F004	20	4	2	1	SUPER_6	339	0.00	339	8.6	97.0	False
P18_F005	18	5	2	2	SUPER_2,scaffold_34	330	0.00	57	8.1	99.5	False
P27_F011	27	11	2	1	SUPER_4	329	0.00	0	6.0	86.0	False
P9_F002	9	2	4	2	SUPER_4,SUPER_6	329	0.00	0	6.5	92.2	False
P29_F007	29	7	1	1	SUPER_X	324	0.00	0	7.5	79.0	False
P28_F011	28	11	3	1	SUPER_X	323	0.00	323	3.9	94.7	False
P134_F001	134	1	1	1	SUPER_4	317	0.00	0	2.2	90.0	False
P99_F006	99	6	1	1	SUPER_4	316	0.00	0	2.6	80.0	False
P30_F014	30	14	6	1	SUPER_3	302	0.00	0	24.1	70.0	False
P41_F003	41	3	2	2	SUPER_1,SUPER_X	300	0.00	300	3.7	75.0	False
P35_F002	35	2	3	1	SUPER_4	294	0.00	0	2.8	84.3	False
P57_F004	57	4	1	1	SUPER_3	293	0.00	0	4.8	86.0	False
P28_F007	28	7	3	1	SUPER_2	288	0.00	0	3.6	92.7	False
P3_F002	3	2	4	4	SUPER_1,SUPER_3,SUPER_4,SUPER_6	283	0.00	0	23.9	92.8	False
P51_F002	51	2	1	1	SUPER_2	282	0.00	0	5.2	84.0	False
P35_F001	35	1	3	2	SUPER_1,SUPER_2	278	0.00	0	2.7	92.0	False
P60_F002	60	2	6	4	SUPER_2,SUPER_3,SUPER_4,SUPER_6	275	0.00	253	2.6	79.8	False
P27_F008	27	8	3	1	SUPER_3	271	0.00	0	3.4	94.0	False
P142_F001	142	1	1	1	SUPER_2	269	0.00	269	1.9	100.0	False
P24_F004	24	4	1	1	SUPER_2	269	0.00	0	8.1	90.0	False
P6_F005	6	5	3	2	SUPER_5,SUPER_X	267	0.00	0	21.5	86.7	False
P30_F025	30	25	14	1	SUPER_X	266	0.00	266	2.8	80.0	False
P87_F005	87	5	1	1	SUPER_X	264	0.00	264	3.1	59.0	False
P99_F005	99	5	1	1	SUPER_3	264	0.00	0	2.5	94.0	False
P12_F007	12	7	2	1	SUPER_3	256	0.00	0	10.8	96.5	False
P41_F001	41	1	3	3	SUPER_1,SUPER_5,SUPER_X	254	0.00	126	2.4	90.3	False
P147_F002	147	2	1	1	SUPER_1	247	0.00	0	2.1	84.0	False
P42_F008	42	8	3	1	SUPER_X	246	0.00	0	2.0	86.3	False
P90_F002	90	2	1	1	SUPER_1	245	0.00	0	2.3	87.0	False
P29_F004	29	4	8	7	SUPER_X,SUPER_X_unloc_22,SUPER_X_unloc_25,SUPER_X_unloc_55,SUPER_X_unloc_59,SUPER_X_unloc_61,SUPER_X_unloc_8	244	0.00	12	7.0	80.4	False
P42_F009	42	9	3	1	SUPER_X	240	0.00	240	1.9	89.0	False
P27_F006	27	6	3	2	SUPER_3,SUPER_X	237	0.00	0	3.0	83.0	False
P60_F005	60	5	2	1	SUPER_4	232	0.00	0	2.0	81.0	False
P119_F002	119	2	1	1	SUPER_4	228	0.00	228	1.9	91.0	False
P118_F001	118	1	1	1	SUPER_5	216	0.00	216	1.8	98.0	False
P40_F010	40	10	2	1	SUPER_X	216	0.00	216	2.7	89.0	False
P10_F007	10	7	2	1	SUPER_X	212	0.00	212	7.1	92.5	False
P18_F008	18	8	2	2	SUPER_2,SUPER_5	212	0.00	212	5.9	100.0	False
P44_F002	44	2	2	1	SUPER_X	208	0.00	0	2.4	81.5	False
P104_F003	104	3	1	1	SUPER_6	207	0.00	207	2.0	97.0	False
P36_F006	36	6	2	1	SUPER_3	206	0.00	0	2.9	94.5	False
P30_F027	30	27	2	1	SUPER_X	198	0.00	198	3.2	87.0	False
P30_F022	30	22	1	1	SUPER_6	193	0.00	0	5.9	86.0	False
P39_F001	39	1	2	1	SUPER_1	188	0.00	0	2.7	83.0	False
P60_F009	60	9	1	1	SUPER_X	183	0.00	183	2.8	90.0	False
P30_F001	30	1	2	2	SUPER_1,SUPER_6	181	0.00	0	3.0	95.5	False
P34_F002	34	2	2	1	SUPER_2	178	0.00	178	2.6	97.0	False
P22_F007	22	7	2	2	SUPER_4,SUPER_5	175	0.00	0	4.0	88.0	False
P99_F007	99	7	1	1	SUPER_X	173	0.00	0	2.0	97.0	False
P52_F002	52	2	1	1	SUPER_X	172	0.00	0	2.4	86.0	False
P171_F001	171	1	1	1	SUPER_4	170	0.00	170	2.0	96.0	False
P2_F003	2	3	2	2	SUPER_6,SUPER_X	169	0.00	0	42.8	92.5	False
P22_F009	22	9	1	1	SUPER_5	167	0.00	0	7.9	94.0	False
P45_F001	45	1	1	1	SUPER_1	167	0.00	0	3.7	91.0	False
P40_F002	40	2	2	1	SUPER_1	166	0.00	0	2.1	93.0	False
P40_F009	40	9	2	1	SUPER_X	162	0.00	162	2.0	90.0	False
P57_F001	57	1	1	1	SUPER_1	162	0.00	0	2.5	91.0	False
P12_F006	12	6	1	1	SUPER_3	161	0.00	0	13.6	80.0	False
P21_F003	21	3	2	1	SUPER_X	160	0.00	0	3.7	96.0	False
P79_F001	79	1	2	1	SUPER_6	158	0.00	158	2.0	97.5	False
P18_F011	18	11	2	2	SUPER_3,SUPER_5	153	0.00	0	6.7	80.5	False
P48_F003	48	3	8	1	SUPER_2	153	0.00	153	2.0	91.2	False
P15_F005	15	5	2	1	SUPER_3	152	0.00	0	5.1	88.5	False
P30_F017	30	17	2	1	SUPER_4	152	0.00	152	2.6	87.0	False
P27_F002	27	2	1	1	SUPER_1	150	0.00	0	4.8	87.0	False
P27_F001	27	1	1	1	SUPER_1	146	0.00	0	4.4	88.0	False
P36_F003	36	3	2	1	SUPER_2	146	0.00	0	2.1	89.0	False
P73_F002	73	2	2	1	SUPER_6	146	0.00	146	2.0	97.0	False
P132_F010	132	10	2	1	SUPER_X	144	0.00	144	2.2	98.0	False
P26_F004	26	4	4	1	SUPER_3	144	0.00	0	2.4	98.5	False
P36_F002	36	2	2	1	SUPER_1	136	0.00	0	2.2	90.0	False
P135_F002	135	2	1	1	SUPER_4	135	0.00	0	2.0	98.0	False
P15_F007	15	7	2	1	SUPER_X	134	0.00	0	4.5	92.0	False
P8_F002	8	2	2	1	SUPER_1	128	0.00	128	8.1	98.0	False
P22_F006	22	6	2	1	SUPER_3	124	0.00	0	2.9	95.0	False
P22_F010	22	10	2	1	SUPER_X	119	0.00	119	3.0	91.5	False
P115_F001	115	1	2	1	SUPER_2	116	0.00	0	2.0	92.0	False
P42_F006	42	6	1	1	SUPER_3	116	0.00	0	2.4	86.0	False
P93_F002	93	2	2	1	SUPER_2	114	0.00	114	1.9	81.0	False
P1_F001	1	1	2	2	SUPER_1,SUPER_4	112	0.00	0	57.0	100.0	False
P45_F004	45	4	1	1	SUPER_6	110	0.00	0	2.2	94.0	False
P104_F002	104	2	1	1	SUPER_4	104	0.00	0	2.0	99.0	False
P43_F001	43	1	1	1	SUPER_1	102	0.00	0	2.2	94.0	False
P115_F003	115	3	2	1	SUPER_3	101	0.00	101	2.0	98.5	False
P89_F002	89	2	1	1	scaffold_115	95	0.00	0	1.9	98.0	False
P33_F003	33	3	1	1	SUPER_1	84	0.00	0	2.4	91.0	False
P33_F001	33	1	1	1	SUPER_1	83	0.00	83	2.5	98.0	False
P25_F006	25	6	1	1	SUPER_6	79	0.00	0	2.1	90.0	False
P31_F001	31	1	1	1	SUPER_1	72	0.00	0	2.2	90.0	False
P72_F004	72	4	1	1	SUPER_X	72	0.00	72	2.1	100.0	False
P111_F002	111	2	7	1	SUPER_2	70	0.00	0	2.0	89.1	False
P12_F005	12	5	1	1	SUPER_6	62	0.00	0	5.4	90.0	False
P68_F003	68	3	1	1	SUPER_5	62	0.00	0	2.0	84.0	False
P54_F002	54	2	1	1	SUPER_2	54	0.00	54	2.1	100.0	False
P30_F019	30	19	2	1	SUPER_4	40	0.00	0	3.6	83.0	False
P40_F003	40	3	2	1	SUPER_2	37	0.00	37	2.1	89.5	False
P30_F010	30	10	1	1	SUPER_2	33	0.00	0	2.3	92.0	False
P30_F021	30	21	1	1	SUPER_5	30	0.00	30	2.1	100.0	False
P66_F002	66	2	1	1	SUPER_2	28	0.00	0	2.1	86.0	False
P27_F007	27	7	2	2	SUPER_3,SUPER_5	26	0.00	0	4.7	85.5	False
P30_F003	30	3	1	1	SUPER_1	26	0.00	26	2.4	97.0	False
P48_F005	48	5	1	1	SUPER_4	13	0.00	0	14.8	63.0	False
P165_F004	165	4	2	1	SUPER_X	8	0.00	8	2.0	83.0	False
P77_F003	77	3	1	1	scaffold_41	8	0.00	0	2.5	84.0	False
P76_F001	76	1	2	1	SUPER_2	7	0.00	0	3.2	84.0	False
P42_F007	42	7	3	1	SUPER_X	3	0.00	3	1.9	92.0	False
P167_F001	167	1	2	1	SUPER_2	2	0.00	2	2.0	97.0	False
P33_F011	33	11	1	1	SUPER_3	1	0.00	0	7.2	77.0	False
