gene_id	Preferred_name	Description	OG_id	celegans	TPM	copy_status	retention_status	somatic_copies_retained
file_1_file_1_g814	-	K02A2.6-like	OG0000190	K02E2.6.3	0.015026	multi	copy_in_retained	4
file_1_file_1_g7258	NA	NA	OG0008316	NA	0.013287	multi	copy_in_retained	2
file_1_file_1_g7265	NA	NA	OG0008316	NA	0.013287	multi	copy_in_retained	2
file_1_file_1_g7248	-	K02A2.6-like	OG0000190	K02E2.6.3	0.012549	multi	copy_in_retained	4
file_1_file_1_g3587	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.012477	multi	eliminated_only	0
file_1_file_1_g7250	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.012357	multi	eliminated_only	0
file_1_file_1_g11928	-	proton channel activity	OG0000474	F46F5.8.1	0.012282	multi	copy_in_retained	1
file_1_file_1_g9190	-	proton channel activity	OG0000474	F46F5.8.1	0.012282	multi	copy_in_retained	1
file_1_file_1_g9191	-	proton channel activity	OG0000474	F46F5.8.1	0.012282	multi	copy_in_retained	1
file_1_file_1_g2516	-	-	OG0001006	F23C8.3b.1	0.011889	multi	copy_in_retained	1
file_1_file_1_g2532	NA	NA	OG0000356	Y20F4.8.1	0.009298	multi	copy_in_retained	9
file_1_file_1_g9928	NA	NA	OG0001960	NA	0.009085	multi	copy_in_retained	2
file_1_file_1_g8	NA	NA	OG0002782	NA	0.008196	multi	eliminated_only	0
file_1_file_1_g2519	-	Belongs to the cytochrome P450 family	OG0012374	NA	0.007311	multi	copy_in_retained	1
file_1_file_1_g7245	NA	NA	OG0001960	NA	0.004681	multi	copy_in_retained	2
file_1_file_1_g11943	NA	NA	OG0000749	Y113G7B.12.1	0.004643	multi	eliminated_only	0
file_1_file_1_g811	-	K02A2.6-like	OG0000190	K02E2.6.3	0.004556	multi	copy_in_retained	4
file_1_file_1_g2518	-	-	OG0001006	F23C8.3b.1	0.004225	multi	copy_in_retained	1
file_1_file_1_g813	-	K02A2.6-like	OG0000190	K02E2.6.3	0.003977	multi	copy_in_retained	4
file_1_file_1_g2498	-	transposition, RNA-mediated	OG0000356	Y20F4.8.1	0.003818	multi	copy_in_retained	9
file_1_file_1_g2497	NA	NA	OG0010246	NA	0.003643	multi	copy_in_retained	3
file_1_file_1_g9180	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.003549	multi	eliminated_only	0
file_1_file_1_g7251	NA	NA	OG0000749	Y113G7B.12.1	0.003348	multi	eliminated_only	0
file_1_file_1_g10874	NA	NA	OG0016962	NA	0.003236	single	-	0
file_1_file_1_g9192	-	Transposase (partial DDE domain)	OG0000282	F49E2.5l.2	0.003133	multi	copy_in_retained	4
file_1_file_1_g6329	NA	NA	OG0008316	NA	0.003114	multi	copy_in_retained	2
file_1_file_1_g1671	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.002633	multi	eliminated_only	0
file_1_file_1_g7261	-	Integrase core domain	OG0001286	NA	0.002449	multi	copy_in_retained	4
file_1_file_1_g7268	-	Integrase core domain	OG0001286	NA	0.002449	multi	copy_in_retained	4
file_1_file_1_g3604	NA	NA	OG0000356	Y20F4.8.1	0.002352	multi	copy_in_retained	9
file_1_file_1_g10870	NA	NA	OG0001138	NA	0.002341	multi	copy_in_retained	5
file_1_file_1_g7255	NA	NA	OG0001960	NA	0.002137	multi	copy_in_retained	2
file_1_file_1_g7252	NA	NA	OG0000356	Y20F4.8.1	0.001959	multi	copy_in_retained	9
file_1_file_1_g3603	NA	NA	OG0000356	Y20F4.8.1	0.001926	multi	copy_in_retained	9
file_1_file_1_g7254	NA	NA	OG0001960	NA	0.001826	multi	copy_in_retained	2
file_1_file_1_g7253	NA	NA	OG0001960	NA	0.001321	multi	copy_in_retained	2
file_1_file_1_g6332	-	K02A2.6-like	OG0000190	K02E2.6.3	0.001302	multi	copy_in_retained	4
file_1_file_1_g6339	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0.001275	multi	eliminated_only	0
file_1_file_1_g10838	-	-	OG0002750	C25F9.1a.1, C25F9.2.1, E01G4.5.1, K09F6.10.3	0	multi	copy_in_retained	2
file_1_file_1_g10843	-	-	OG0009518	NA	0	multi	copy_in_retained	2
file_1_file_1_g10845	-	Integrase core domain	OG0001286	NA	0	multi	copy_in_retained	4
file_1_file_1_g10847	NA	NA	OG0031326	NA	0	single	-	0
file_1_file_1_g10854	NA	NA	OG0010278	NA	0	multi	eliminated_only	0
file_1_file_1_g10856	NA	NA	OG0008312	NA	0	multi	eliminated_only	0
file_1_file_1_g10860	NA	NA	OG0013947	NA	0	multi	eliminated_only	0
file_1_file_1_g10866	NA	NA	OG0001138	NA	0	multi	copy_in_retained	5
file_1_file_1_g10872	NA	NA	OG0001138	NA	0	multi	copy_in_retained	5
file_1_file_1_g2488	NA	NA	OG0009530	NA	0	multi	copy_in_retained	1
file_1_file_1_g2489	NA	NA	OG0009530	NA	0	multi	copy_in_retained	1
file_1_file_1_g2490	NA	NA	OG0009530	NA	0	multi	copy_in_retained	1
file_1_file_1_g2491	NA	NA	OG0009530	NA	0	multi	copy_in_retained	1
file_1_file_1_g2499	-	nucleic acid binding	OG0000356	Y20F4.8.1	0	multi	copy_in_retained	9
file_1_file_1_g2507	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2508	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2509	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2510	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2511	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2512	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2513	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2514	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2515	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2517	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2520	-	-	OG0001006	F23C8.3b.1	0	multi	copy_in_retained	1
file_1_file_1_g2522	NA	NA	OG0000190	K02E2.6.3	0	multi	copy_in_retained	4
file_1_file_1_g3588	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g4369	-	-	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g4370	-	-	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g4371	-	-	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g4372	-	Reverse transcriptase (RNA-dependent DNA polymerase)	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g4373	-	Ribonuclease H protein	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g4374	NA	NA	OG0031170	NA	0	single	-	0
file_1_file_1_g4375	-	Reverse transcriptase (RNA-dependent DNA polymerase)	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g4376	-	Reverse transcriptase (RNA-dependent DNA polymerase)	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g4377	-	Reverse transcriptase (RNA-dependent DNA polymerase)	OG0005394	T26G10.4.1	0	multi	eliminated_only	0
file_1_file_1_g5284	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g5285	-	Reverse transcriptase (RNA-dependent DNA polymerase)	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g6319	NA	NA	OG0016944	NA	0	multi	eliminated_only	0
file_1_file_1_g6333	NA	NA	OG0000190	K02E2.6.3	0	multi	copy_in_retained	4
file_1_file_1_g6334	NA	NA	OG0001286	NA	0	multi	copy_in_retained	4
file_1_file_1_g6335	-	Chromatin organization modifier domain	OG0001286	NA	0	multi	copy_in_retained	4
file_1_file_1_g6336	-	Integrase core domain	OG0001286	NA	0	multi	copy_in_retained	4
file_1_file_1_g6338	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g7	-	Reverse transcriptase (RNA-dependent DNA polymerase)	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g7244	NA	NA	OG0000190	K02E2.6.3	0	multi	copy_in_retained	4
file_1_file_1_g7247	-	Ribonuclease H protein	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g7249	NA	NA	OG0000749	Y113G7B.12.1	0	multi	eliminated_only	0
file_1_file_1_g7260	-	-	OG0009518	NA	0	multi	copy_in_retained	2
file_1_file_1_g7267	-	-	OG0009518	NA	0	multi	copy_in_retained	2
file_1_file_1_g821	NA	NA	OG0000190	K02E2.6.3	0	multi	copy_in_retained	4
file_1_file_1_g824	NA	NA	OG0000190	K02E2.6.3	0	multi	copy_in_retained	4
file_1_file_1_g8287	SETMAR	SET domain and mariner transposase fusion gene	OG0012332	NA	0	multi	copy_in_retained	2
file_1_file_1_g9878	NA	NA	OG0001960	NA	0	multi	copy_in_retained	2
file_1_file_1_g9879	-	-	OG0001960	NA	0	multi	copy_in_retained	2
file_1_file_1_g9935	-	-	OG0009518	NA	0	multi	copy_in_retained	2
